tmin	text	tmax
76.797125	<p:>	76.867125
76.867125	k	76.907125
76.907125	v	76.937125
76.937125	E	76.967125
76.967125	l	77.027125
77.027125	z	77.177125
77.177125	e:	77.247125
77.247125	j	77.287125
77.287125	u:	77.367125
77.367125	r	77.397125
77.397125	E	77.437125
77.437125	k	77.477125
77.477125	s	77.507125
77.507125	t	77.537125
77.537125	r	77.597125
77.597125	a:	77.657125
77.657125	O	77.707125
77.707125	r	77.737125
77.737125	d	77.767125
77.767125	i	77.817125
77.817125	n	77.927125
77.927125	aI	77.977125
77.977125	r	78.107125
78.107125	@	78.247125
78.247125	<p:>	80.578937
